"19832",\N,"1"
"48159","26115","1"
"58281","38019","1"
"99637","2050","1"
"11939","36103","1"
"19967","10005","1"
"58529","38037","1"
"99711",\N,"1"
"95733",\N,"1"
"70895",\N,"1"
"99877",\N,"1"
"59046","30037","1"
"95929",\N,"1"
"30050",\N,"1"
"30089",\N,"1"
"71485","22079","1"
"2778",\N,"1"
"59525","30041","1"
"38258","47017","1"
"12221",\N,"1"
"71839","5091","1"
"2841","44005","1"
"48552",\N,"1"
"59721","30043","1"
"38374","47039","1"
"12333",\N,"1"
"71999","5019","1"
"38504","47049","1"
"12416","36111","1"
"3041",\N,"1"
"20687","24037","1"
"59927","30029","1"
"38603","28009","1"
"96693",\N,"1"
"86745",\N,"1"
"38746","28011","1"
"20806",\N,"1"
"38873","28117","1"
"72482","5135","1"
"3285","33009","1"
"87125",\N,"1"
"12653",\N,"1"
"87432",\N,"1"
"60165","17031","1"
"12775","36105","1"
"30572","13111","1"
"60223",\N,"1"
"39427","28065","1"
"72853","5105","1"
"87731","35047","1"
"39695",\N,"1"
"12989","36033","1"
"30919",\N,"1"
"3910","23031","1"
"88122",\N,"1"
"21270",\N,"1"
"49405","26105","1"
"31058","13197","1"
"88346","35027","1"
"40078","21229","1"
"13122","36053","1"
"21647","24041","1"
"13322","36043","1"
"4333",\N,"1"
"49726","26033","1"
"60922","17075","1"
"49808","26103","1"
"40522",\N,"1"
"4497","23003","1"
"49908","26013","1"
"61084","17141","1"
"40840","21095","1"
"13608","36045","1"
"74194",\N,"1"
"89597",\N,"1"
"61259","17161","1"
"13666","36089","1"
"74436","40101","1"
"4683","23009","1"
"22321",\N,"1"
"4851","23013","1"
"22510",\N,"1"
"61448","17095","1"
"41319",\N,"1"
"61537","17011","1"
"90216",\N,"1"
"50459","19195","1"
"61709",\N,"1"
"42016",\N,"1"
"42121",\N,"1"
"90410",\N,"1"
"22989","51113","1"
"61880","17019","1"
"42274","21141","1"
"14369",\N,"1"
"32525",\N,"1"
"5436",\N,"1"
"51048","19035","1"
"62201","17119","1"
"42635","21147","1"
"75237","48113","1"
"51537","19165","1"
"75382",\N,"1"
"23389","51001","1"
"52041","19055","1"
"62360","17001","1"
"78007","48311","1"
"32797",\N,"1"
"75449","48147","1"
"91225",\N,"1"
"23459","51810","1"
"52206","19011","1"
"14778","36009","1"
"75560","48067","1"
"23542",\N,"1"
"62633","17125","1"
"14839","36101","1"
"32936",\N,"1"
"52460",\N,"1"
"43322","39101","1"
"23885","51053","1"
"62893","17081","1"
"75937","48347","1"
"91720",\N,"1"
"24042",\N,"1"
"78553",\N,"1"
"91916","6073","1"
"63107","29510","1"
"43793","39111","1"
"92015",\N,"1"
"43963","39081","1"
"15360","42125","1"
"24437","51015","1"
"53195","55127","1"
"15458","42051","1"
"33355",\N,"1"
"15618","42005","1"
"76446","48093","1"
"63769","29031","1"
"78833","48137","1"
"24892","54047","1"
"79012","48375","1"
"15848","42033","1"
"92282","6065","1"
